	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d037473	1025	839	931	1118	1118	1290	1898	1448
Zm00001d037474	8	2	5	3	6	12	9	9
Zm00001d037476	302	242	333	337	295	192	291	232
Zm00001d037477	186	167	128	182	258	292	474	462
Zm00001d037479	656	432	625	371	534	547	447	492
Zm00001d037480	2852	2647	2639	3000	990	947	1461	967
Zm00001d037481	1334	999	1155	1129	1397	1361	1653	1334
Zm00001d037482	69	50	38	42	9	7	13	5
Zm00001d037483	592	497	510	477	1016	917	902	758
Zm00001d037484	670	533	814	814	1139	1014	1365	1097
Zm00001d037485	1120	861	902	804	1049	1011	859	875
Zm00001d037487	56	41	26	40	71	56	211	100
Zm00001d037489	481	348	531	334	542	511	529	552
Zm00001d037490	0	9	8	5	4	3	11	25
Zm00001d037492	79	43	265	244	278	114	298	333
Zm00001d037494	2	3	0	0	3	1	0	1
Zm00001d037495	377	312	201	158	86	72	27	19
Zm00001d037497	137	77	143	64	115	127	144	107
Zm00001d037499	1181	1034	1026	975	1632	1581	1771	1524
Zm00001d037501	3	2	338	325	3	5	249	295
Zm00001d037503	108	97	146	136	80	62	98	91
Zm00001d037505	215	165	256	226	367	454	433	366
Zm00001d037507	422	439	711	784	479	717	1610	1224
Zm00001d037509	227	208	163	174	249	333	295	228
Zm00001d037512	4193	3354	3561	3656	3132	2904	3127	2892
Zm00001d037513	17207	11322	15596	12624	8293	5173	3212	3692
Zm00001d037515	0	1	11	5	55	68	49	38
Zm00001d001425	117	124	109	137	139	114	117	89
Zm00001d037518	138	64	99	114	106	102	140	103
Zm00001d037519	8	13	19	11	13	20	54	28
Zm00001d037521	536	470	502	597	1178	1687	1672	1251
Zm00001d037522	38	15	38	23	51	28	38	37
Zm00001d037526	1	1	2	1	1	0	3	1
Zm00001d037530	492	436	336	419	506	523	672	524
Zm00001d037531	2	4	3	3	0	4	5	1
Zm00001d037532	11852	13506	7420	8601	1018	946	1633	1087
Zm00001d037533	35	66	23	63	15	19	29	14
Zm00001d037536	1281	1211	1103	1294	1350	1811	2515	1651
Zm00001d037537	157	123	124	125	235	246	201	157
Zm00001d037538	1640	1230	1582	1084	1929	1827	1965	1680
Zm00001d037539	129	62	339	282	113	67	271	196
Zm00001d037540	1085	835	1633	1236	1896	922	1395	1662
Zm00001d037542	0	3	7	0	4	0	1	17
Zm00001d037544	308	326	268	261	572	498	481	554
Zm00001d037545	0	2	4	7	1	0	2	5
Zm00001d037546	1388	1252	952	1090	1110	1364	1305	843
Zm00001d037547	109	100	124	230	125	75	52	106
Zm00001d037550	2247	2475	1214	1141	1132	2378	662	736
Zm00001d037551	4748	3419	4219	4775	3637	2964	3716	3066
Zm00001d037553	696	629	587	555	702	745	781	583
Zm00001d037556	177	137	254	189	292	172	198	296
Zm00001d037557	992	861	749	927	1320	1755	2131	1561
Zm00001d037562	0	0	10	12	0	0	24	28
Zm00001d037566	6	1	0	0	4	8	0	3
Zm00001d037573	1475	1487	1259	995	2484	3258	1843	1600
Zm00001d037574	116	84	82	73	50	21	34	57
Zm00001d037577	5	3	14	28	17	18	65	41
Zm00001d037579	0	6	2	4	3	9	18	9
Zm00001d037580	0	0	0	2	2	1	3	2
Zm00001d037582	16	39	47	30	49	61	97	82
Zm00001d037586	867	613	665	837	660	973	907	688
Zm00001d037590	299	263	275	294	492	547	441	384
Zm00001d037593	84	49	87	87	98	148	205	173
Zm00001d037594	1	0	0	0	3	3	4	6
Zm00001d037596	1939	1634	1445	1540	1306	1550	1922	1435
Zm00001d037599	740	604	782	728	917	921	1149	925
Zm00001d037601	917	728	647	697	845	796	941	793
Zm00001d037602	198	157	221	156	325	263	357	303
Zm00001d037603	942	670	710	515	910	905	819	801
Zm00001d037604	181	118	194	227	218	253	220	139
Zm00001d037605	290	248	294	329	360	367	699	447
Zm00001d037606	1566	1281	1100	1141	2362	2591	2394	1698
Zm00001d037607	185	204	294	273	438	183	348	375
Zm00001d037608	18	17	9	15	30	96	56	25
Zm00001d037609	381	315	214	288	569	776	616	428
Zm00001d037610	135	87	94	116	250	425	166	134
Zm00001d037611	0	3	0	3	7	21	2	10
Zm00001d037612	62	48	41	35	58	77	80	56
Zm00001d037613	1306	1161	1180	1120	1854	1916	2157	1761
Zm00001d037614	3	5	4	6	7	21	11	4
Zm00001d037615	74	51	37	72	50	39	93	68
Zm00001d037616	275	180	297	250	320	328	329	333
Zm00001d037617	344	287	300	271	439	456	421	366
Zm00001d037619	187	241	280	190	686	541	302	510
Zm00001d001432	33	36	36	48	161	160	77	99
Zm00001d037620	391	255	379	249	307	392	349	320
Zm00001d037623	101	110	256	127	27	21	20	47
Zm00001d037624	102	87	83	114	188	255	269	195
Zm00001d037625	1218	1117	790	918	1187	1413	1589	1168
Zm00001d037626	102	66	97	86	210	207	240	188
Zm00001d037631	2884	3413	2557	2702	1516	1052	2215	1147
Zm00001d037632	900	986	790	763	732	841	1159	817
Zm00001d037633	112	118	95	109	129	168	117	122
Zm00001d037634	30	16	28	16	27	13	65	39
Zm00001d037635	2	0	2	0	0	1	0	5
Zm00001d037636	2468	1228	3733	2786	3811	1745	2845	4067
Zm00001d037637	8	8	4	8	16	2	19	7
Zm00001d037640	862	626	605	520	532	436	501	522
Zm00001d037642	7	1	12	11	6	7	11	11
Zm00001d037643	24	14	24	22	65	47	83	62
Zm00001d037644	175	79	203	344	81	45	116	89
Zm00001d037645	0	0	149	173	0	0	262	188
Zm00001d037646	0	2	27	34	5	0	62	37
Zm00001d037648	506	428	264	363	459	568	517	383
Zm00001d037650	57	40	82	130	63	29	188	158
Zm00001d037651	7319	4960	6220	6604	1444	904	1479	1844
Zm00001d037652	7	2	546	554	8	16	1183	942
Zm00001d037653	10	4	4	16	8	6	18	6
Zm00001d037655	3	0	1	0	0	3	0	1
Zm00001d037656	35	63	49	29	33	56	17	37
Zm00001d037658	27	14	32	26	25	15	4	10
Zm00001d037659	25	25	50	66	50	75	47	78
Zm00001d037660	0	0	2	7	0	0	8	15
Zm00001d037661	4	0	1	0	4	1	1	0
Zm00001d037663	730	591	587	473	724	786	600	557
Zm00001d037665	0	0	12	21	0	2	42	24
Zm00001d037666	16	9	1	0	1	6	1	0
Zm00001d037668	0	2	0	0	0	2	2	4
Zm00001d037674	2	5	2	1	0	0	0	2
Zm00001d037675	48	34	59	42	33	65	69	51
Zm00001d037677	0	0	4	2	0	0	3	3
Zm00001d037680	883	725	179	104	153	105	26	28
Zm00001d037681	1262	715	82	31	271	226	6	18
Zm00001d037682	10	4	7	5	9	9	7	14
Zm00001d037684	2308	2285	3615	3672	3034	3211	5146	2702
Zm00001d037685	21	13	11	11	19	20	14	18
Zm00001d037687	29	58	4	8	88	133	56	27
Zm00001d037688	130	94	48	98	135	108	180	154
Zm00001d037689	1221	1597	851	289	952	837	322	961
Zm00001d037691	5	2	6	3	12	25	33	31
Zm00001d037693	360	358	714	373	623	619	736	648
Zm00001d037694	47	107	102	106	79	48	19	34
Zm00001d037695	1259	1194	1056	1002	2630	2810	3958	3021
Zm00001d037696	418	391	439	462	641	651	1195	852
Zm00001d037700	1061	871	681	585	992	1072	1101	1047
Zm00001d037701	3	4	3	0	16	14	0	0
Zm00001d037708	429	475	520	471	5	7	2	9
Zm00001d037710	2	8	1	1	2	3	1	3
Zm00001d037711	476	384	309	230	229	35	119	217
Zm00001d037712	115	94	101	104	167	148	218	220
Zm00001d037713	83	62	39	58	27	19	38	36
Zm00001d037714	84	49	83	79	135	162	127	103
Zm00001d037715	1	19	11	4	10	15	0	4
Zm00001d037717	154	198	43	35	251	371	215	219
Zm00001d037719	629	536	578	519	656	783	796	592
Zm00001d037720	8	5	4	0	6	6	5	0
Zm00001d037721	0	0	0	0	16	78	9	32
Zm00001d037723	0	0	30	24	4	3	65	35
Zm00001d037724	228	580	780	293	617	117	266	657
Zm00001d037725	1470	1061	2213	1768	1642	1319	1397	1308
Zm00001d037727	1860	1541	824	816	1739	1511	700	617
Zm00001d037728	3	0	0	0	1	2	4	3
Zm00001d037729	130	48	104	88	164	94	44	50
Zm00001d037731	210	185	180	172	240	425	530	403
Zm00001d037732	251	198	329	153	420	432	377	381
Zm00001d037733	329	209	220	209	544	494	288	200
Zm00001d037734	609	549	672	610	737	801	1016	771
Zm00001d037735	146	137	198	256	152	201	263	197
Zm00001d037736	180	143	97	119	177	230	140	98
Zm00001d037737	1	2	0	0	0	2	4	2
Zm00001d037738	5	1	6	7	15	11	18	21
Zm00001d037741	2	1	13	0	5	0	2	0
Zm00001d037743	102	30	96	154	60	31	101	98
Zm00001d037744	191	213	176	195	342	381	746	510
Zm00001d037745	507	477	503	406	500	566	360	378
Zm00001d037747	29	20	51	40	55	100	74	87
Zm00001d037748	818	572	413	427	848	675	428	409
Zm00001d037749	0	27	5	0	29	271	28	239
Zm00001d037751	560	411	1129	696	1284	729	1110	1500
Zm00001d037756	1999	1600	1942	1116	730	998	956	804
Zm00001d037757	458	534	451	609	1191	1331	1127	1044
Zm00001d037759	12	6	3	4	20	58	6	24
Zm00001d037760	153	158	181	163	420	586	607	453
Zm00001d037766	30	23	68	48	21	34	35	44
Zm00001d037768	5	1	27	59	30	11	57	60
Zm00001d037769	62	45	55	147	188	109	150	83
Zm00001d037770	391	310	314	247	293	302	379	290
Zm00001d037771	712	477	500	619	558	562	466	486
Zm00001d037772	475	341	288	318	538	470	466	358
Zm00001d037774	5863	3526	3882	5162	7140	6542	6631	4369
Zm00001d037775	1729	1116	1814	1795	1067	823	1033	975
Zm00001d037776	13	6	8	12	4	13	18	6
Zm00001d037777	1966	1342	1551	1634	813	629	947	894
Zm00001d037778	163	121	112	97	207	206	172	171
Zm00001d001433	14	13	5	0	2	11	1	1
Zm00001d037779	1560	1103	242	86	3332	4227	361	371
Zm00001d037781	3	2	0	0	6	11	0	2
Zm00001d037783	368	348	331	262	372	872	491	422
Zm00001d037784	88	53	195	110	262	216	342	305
Zm00001d037785	253	239	104	139	382	365	290	210
Zm00001d037786	9	3	12	2	22	13	8	9
Zm00001d037787	5	6	39	11	12	10	26	17
Zm00001d037789	0	0	34	43	0	0	259	177
Zm00001d037790	857	739	411	510	856	852	759	498
Zm00001d037792	3	1	1	7	20	7	0	1
Zm00001d037794	163	79	20	45	192	110	6	6
Zm00001d037795	0	0	0	7	4	7	2	4
Zm00001d037797	283	283	440	386	557	1104	1639	1366
Zm00001d037799	36	39	35	56	60	94	84	49
Zm00001d037803	212	184	194	194	319	403	357	248
Zm00001d037806	0	1	6	4	4	1	7	5
Zm00001d037807	465	445	328	390	590	668	600	401
Zm00001d037808	869	724	870	788	1185	1282	1291	1053
Zm00001d037810	123	163	55	39	101	200	66	100
Zm00001d037811	53	45	72	70	163	154	134	118
Zm00001d037813	265	149	103	39	275	271	98	140
Zm00001d037815	11	16	1	2	39	53	0	0
Zm00001d037816	44	28	15	7	70	55	14	24
Zm00001d037818	428	369	96	70	288	384	110	141
Zm00001d037819	8	1	1	8	3	20	26	13
Zm00001d037822	18	10	5	11	5	16	5	12
Zm00001d037826	3	0	0	0	8	22	0	2
Zm00001d037828	62	39	83	52	156	110	62	53
Zm00001d037829	543	355	956	837	943	474	838	1043
Zm00001d037830	39	34	72	61	93	92	167	78
Zm00001d037831	3	0	4	0	2	1	0	1
Zm00001d037832	402	308	310	242	337	346	369	335
Zm00001d037833	1	2	20	40	3	1	37	26
Zm00001d037834	215	131	94	110	135	149	74	35
Zm00001d037835	6	4	0	0	23	20	0	0
Zm00001d037836	154	139	44	28	242	239	171	122
Zm00001d037837	0	1	10	17	1	2	26	26
Zm00001d037840	6	15	12	20	10	23	48	33
Zm00001d037842	69	64	79	86	73	98	160	109
Zm00001d037843	33	10	51	48	29	12	30	33
Zm00001d037846	875	671	547	581	831	836	829	647
Zm00001d037847	35	23	106	69	68	48	115	104
Zm00001d037849	20	50	0	13	102	168	10	46
Zm00001d037852	126	148	92	97	394	967	489	469
Zm00001d037854	0	0	0	0	5	20	2	1
Zm00001d037856	666	457	561	408	421	364	447	371
Zm00001d037857	25	12	4	9	44	84	25	26
Zm00001d037858	2970	2612	3354	2543	3512	5185	4283	3518
Zm00001d037859	1219	879	725	729	1034	1161	628	610
Zm00001d037860	257	134	218	203	185	216	280	235
Zm00001d037864	444	375	311	275	454	476	546	493
Zm00001d037867	502	377	481	437	616	691	987	704
Zm00001d037868	22	11	13	5	37	69	63	109
Zm00001d037870	140	97	2	3	312	484	2	0
Zm00001d037871	28	33	45	52	62	42	57	44
Zm00001d037872	450	391	197	119	645	876	472	362
Zm00001d037873	1833	1345	2188	1674	1434	1524	1410	1629
Zm00001d037875	1630	1158	1792	1214	1381	1430	1458	1516
Zm00001d037876	0	0	28	21	0	0	25	33
Zm00001d037877	1531	1136	648	493	1303	1433	423	455
Zm00001d037884	43	19	42	34	57	60	59	61
Zm00001d037886	27	23	18	7	44	33	27	30
Zm00001d037891	18	15	7	4	22	44	24	20
Zm00001d037892	96	98	55	71	101	125	91	63
Zm00001d037893	0	0	13	25	0	0	12	15
Zm00001d037894	49	51	2	0	1	12	0	1
Zm00001d037897	16	32	16	30	43	73	109	73
Zm00001d037898	53	11	30	25	41	12	10	20
Zm00001d037899	530	460	275	324	465	449	252	253
Zm00001d037900	293	212	247	312	438	406	510	390
Zm00001d037901	0	0	84	29	0	0	13	7
Zm00001d037902	402	343	385	483	463	566	600	373
Zm00001d037903	131	64	176	220	338	113	119	153
Zm00001d037904	0	1	2	2	0	0	8	2
Zm00001d037905	1170	878	1128	760	1340	1444	1217	1276
Zm00001d001436	6	8	1	4	53	22	22	21
Zm00001d037909	107	110	48	34	503	255	165	166
Zm00001d037911	0	0	2	3	0	0	4	1
Zm00001d037913	123	59	0	1	653	746	0	0
Zm00001d037914	235	241	179	100	1146	1107	389	400
Zm00001d037916	37	46	181	152	63	79	191	221
Zm00001d037917	128	73	160	134	123	180	199	173
Zm00001d037918	409	355	475	333	798	1490	1301	974
Zm00001d037920	16	7	11	13	16	4	15	11
Zm00001d037921	0	3	43	70	0	0	116	97
Zm00001d037922	8	3	2	10	4	14	12	10
Zm00001d037923	1	0	16	16	3	0	29	51
Zm00001d037925	257	207	205	209	257	297	306	259
Zm00001d037926	212	171	177	180	305	378	334	235
Zm00001d037927	85	64	67	46	242	225	195	235
Zm00001d037929	584	364	607	455	607	673	646	632
Zm00001d037932	64	36	279	347	174	132	83	117
Zm00001d037934	852	857	717	523	1757	2128	1437	1501
Zm00001d037935	6	11	8	3	30	122	30	42
Zm00001d037936	0	0	29	6	0	0	34	16
Zm00001d037937	376	431	545	498	615	772	710	562
Zm00001d037939	1	0	2	9	16	5	12	8
Zm00001d037940	0	0	1	7	0	0	7	4
Zm00001d037941	1	0	0	0	5	13	3	6
Zm00001d037943	45	34	3	9	291	384	77	50
Zm00001d037945	0	0	0	0	39	129	68	71
Zm00001d037946	636	611	417	471	844	858	1131	750
Zm00001d037949	2009	1901	1608	1228	1719	2283	2709	2407
Zm00001d037950	1281	1253	1093	1266	1538	1894	2860	2058
Zm00001d037951	337	281	282	346	286	308	711	461
Zm00001d037956	52	35	10	19	36	49	3	8
Zm00001d037958	0	3	0	0	8	12	4	2
Zm00001d037961	941	631	2393	2792	1287	1253	3718	2286
Zm00001d037962	849	669	1216	1433	1786	1642	2359	1853
Zm00001d037966	811	618	764	708	1115	1164	1335	1114
Zm00001d037967	66	55	63	81	94	95	140	139
Zm00001d037968	7	12	23	12	15	351	21	68
Zm00001d037969	2	6	44	35	0	13	0	9
Zm00001d037970	52	56	141	200	107	275	369	297
Zm00001d037971	852	592	776	743	770	899	1018	773
Zm00001d037972	304	257	189	141	315	358	189	176
Zm00001d037974	26	17	26	27	39	1	8	35
Zm00001d037975	127	110	68	140	201	242	282	227
Zm00001d037978	128	118	133	138	230	181	357	273
Zm00001d037979	32	22	26	37	39	38	115	92
Zm00001d037981	32	45	64	80	77	79	229	189
Zm00001d037982	1150	875	1363	1033	370	314	677	605
Zm00001d037983	0	0	83	123	0	0	199	129
Zm00001d037984	3281	2420	3301	3162	2204	1841	2647	2282
Zm00001d037992	697	501	668	562	880	932	997	876
Zm00001d037993	540	426	325	322	857	1002	937	792
Zm00001d037994	0	0	4	4	3	0	2	2
Zm00001d037996	1	0	7	10	0	0	6	7
Zm00001d037998	23	5	14	27	14	8	14	23
Zm00001d038000	2	0	2	1	4	4	1	3
Zm00001d038002	244	166	155	139	353	278	257	186
Zm00001d038003	12331	10014	7304	9113	10300	9143	8939	4952
Zm00001d038004	121	137	156	120	208	293	220	150
Zm00001d038005	5	6	0	0	17	31	1	2
Zm00001d038006	229	178	226	254	364	362	526	339
Zm00001d038007	635	584	668	589	692	718	1432	1008
Zm00001d038011	0	0	6	12	1	0	5	7
Zm00001d038012	793	630	765	666	715	654	535	396
Zm00001d038016	11	4	1	10	6	6	4	6
Zm00001d038017	0	0	54	93	0	0	216	135
Zm00001d038018	218	116	250	266	161	58	118	113
Zm00001d038019	1	2	0	0	7	17	0	0
Zm00001d038020	826	439	665	958	1193	605	545	678
Zm00001d038021	63	44	43	45	85	123	111	94
Zm00001d038022	1712	1239	1344	1127	1610	1471	1904	1612
Zm00001d038023	525	611	1377	1071	1343	1430	2423	1782
Zm00001d038027	221	183	148	140	290	244	196	139
Zm00001d038029	674	594	439	462	724	722	268	223
Zm00001d038030	48	55	11	7	55	150	13	6
Zm00001d038031	3	2	0	6	0	1	0	0
zma-MIR164b	16	6	2	1	4	14	0	0
Zm00001d038034	7	9	0	0	13	23	3	1
Zm00001d038035	158	150	74	49	141	251	42	54
Zm00001d038036	108	137	2	1	156	195	2	4
Zm00001d038038	99	82	105	84	113	100	111	126
Zm00001d038039	894	863	772	824	713	808	724	655
Zm00001d038045	7	2	3	1	0	7	3	1
Zm00001d038046	0	0	3	2	0	0	1	1
Zm00001d038047	7257	4755	6060	5800	2584	1571	2124	1952
Zm00001d038048	136	81	51	44	243	299	104	81
Zm00001d038049	17026	15157	6815	10981	7320	5934	6590	3141
Zm00001d038050	12	18	12	18	16	4	4	2
Zm00001d038051	1253	938	1021	1336	1041	741	1980	1456
Zm00001d038052	567	182	887	858	317	67	272	532
Zm00001d038054	34	21	93	136	61	64	189	149
Zm00001d038057	504	467	371	301	982	753	549	487
Zm00001d038058	16	16	21	17	36	28	31	12
Zm00001d038059	78	90	71	57	103	121	129	100
Zm00001d038060	0	9	25	14	6	18	63	48
Zm00001d038061	182	200	194	80	87	69	83	112
Zm00001d038062	949	950	802	771	876	1073	1317	841
Zm00001d038063	45	40	27	24	80	123	21	20
Zm00001d038064	17	25	5	5	137	427	17	16
Zm00001d038065	263	273	170	104	308	161	89	157
Zm00001d038066	438	487	360	387	975	834	906	756
Zm00001d038067	560	505	370	355	314	288	254	183
Zm00001d038068	4	3	1	2	5	4	13	11
Zm00001d038071	122	100	73	79	165	193	80	68
Zm00001d038072	19	15	41	33	33	43	76	50
Zm00001d038076	89	54	23	27	89	140	76	74
Zm00001d038080	21	19	480	315	27	20	590	531
Zm00001d038082	173	126	97	138	199	269	245	173
Zm00001d038084	10391	7927	7558	7494	5116	4220	4725	4317
Zm00001d038085	1129	915	1204	922	1662	1336	1153	1065
Zm00001d038087	96	64	102	153	172	110	148	114
Zm00001d038088	92	57	75	47	79	121	96	104
Zm00001d038089	263	203	166	110	435	380	278	240
Zm00001d038090	0	0	3	1	0	3	2	0
Zm00001d038091	819	737	1035	1024	861	1013	1523	1022
Zm00001d038092	128	45	77	76	72	33	32	35
Zm00001d038093	642	479	382	495	601	728	746	557
Zm00001d038097	3065	1993	1908	2042	1052	742	1204	926
Zm00001d038098	3	3	149	195	7	8	112	68
Zm00001d038100	324	226	157	214	372	261	340	270
Zm00001d038101	395	200	499	461	741	454	594	611
Zm00001d038104	1418	1173	1374	1619	850	900	1474	1196
Zm00001d038105	261	217	391	513	379	281	751	676
Zm00001d038106	692	662	567	613	815	875	1154	903
Zm00001d038107	728	560	618	627	685	784	913	694
Zm00001d038108	151	129	136	129	200	239	184	132
Zm00001d038109	55	33	64	52	70	55	117	122
Zm00001d038113	46	39	27	58	104	113	105	76
Zm00001d038114	163	144	142	160	381	305	432	311
Zm00001d038115	68	50	30	18	128	291	38	29
Zm00001d038116	0	0	2	3	0	0	25	15
Zm00001d038117	92	83	89	91	93	137	139	128
Zm00001d038118	314	262	347	335	551	558	668	526
Zm00001d038120	0	0	47	53	0	0	95	68
Zm00001d038121	578	459	608	496	393	367	557	397
Zm00001d038122	13	11	14	18	21	44	18	12
Zm00001d038123	672	560	646	695	899	888	1015	808
Zm00001d038125	245	158	118	137	170	102	71	89
Zm00001d038126	4408	3656	4178	4936	2415	1142	4846	3844
Zm00001d038127	869	628	502	518	867	1051	692	660
Zm00001d038128	529	431	501	566	528	558	658	494
Zm00001d038130	811	701	1371	1631	716	736	1656	1108
Zm00001d038133	1526	1108	822	891	1312	1167	1197	949
Zm00001d038134	262	208	199	234	331	365	517	442
Zm00001d038135	34	17	79	82	49	7	33	35
Zm00001d038136	1671	1397	2130	1431	5022	4859	5214	3938
Zm00001d038139	477	308	290	280	403	358	388	332
Zm00001d038142	508	387	444	435	492	547	599	497
Zm00001d038143	796	548	629	607	656	706	643	576
Zm00001d038144	1	3	1	2	3	18	5	12
Zm00001d038146	4486	3774	2536	3269	2127	2098	3090	2887
Zm00001d038147	3492	2707	2691	2610	3782	3795	2722	2586
Zm00001d038148	2	1	6	3	7	1	3	8
Zm00001d038149	26	14	54	63	35	35	117	70
Zm00001d038150	278	251	237	226	331	475	507	467
Zm00001d038151	21	16	74	45	7	0	3	18
Zm00001d038153	1	2	3	9	1	3	0	1
Zm00001d038155	3205	2179	1168	1201	2100	1581	800	706
Zm00001d038156	1007	758	771	893	1111	1468	1834	1232
Zm00001d038158	169	120	148	130	180	177	213	222
Zm00001d038161	5772	4750	4582	5492	3666	2673	3979	3018
Zm00001d038163	805599	668511	612239	577614	399506	373006	590037	422487
Zm00001d038164	81	123	134	49	35	43	124	132
Zm00001d038165	1723	1518	1258	1395	1587	1660	2145	2411
Zm00001d038166	62	54	59	54	132	134	171	125
Zm00001d038167	1608	1431	1177	1098	1399	1072	1574	1497
Zm00001d038170	16777	8786	8227	12822	7910	5793	6867	6666
Zm00001d038171	449	413	415	460	514	541	588	507
Zm00001d038172	783	673	614	664	955	1097	1287	1096
Zm00001d038173	1242	1001	1011	931	2561	2507	1265	1261
Zm00001d038174	19	17	1	0	60	77	6	5
Zm00001d038175	0	0	17	13	0	0	75	23
Zm00001d038176	9	5	14	4	26	11	22	27
Zm00001d038177	7	16	60	46	171	140	77	104
Zm00001d038178	72	65	75	56	136	109	31	51
Zm00001d038179	0	7	1	2	1	1	3	6
Zm00001d038180	3	8	7	0	17	32	6	16
Zm00001d038181	630	515	852	673	1367	1186	1229	1160
Zm00001d038184	0	0	4	2	0	0	25	10
Zm00001d038186	793	750	950	932	476	405	549	427
Zm00001d038189	851	554	760	675	853	1102	1141	891
Zm00001d038190	2348	2227	1741	1947	2296	2499	3163	2080
Zm00001d038191	312	212	222	205	271	476	503	271
Zm00001d038192	12	7	0	0	30	27	2	2
Zm00001d038193	251	195	257	262	537	569	498	459
Zm00001d038194	353	350	260	386	389	399	696	502
Zm00001d038195	493	407	333	351	1081	1421	1271	1297
Zm00001d038196	278	143	360	310	300	200	259	361
Zm00001d038197	0	0	40	25	0	0	3	6
Zm00001d038198	25	13	31	28	61	95	79	76
Zm00001d038199	247	264	255	167	629	673	1789	1099
Zm00001d038200	551	368	551	650	517	528	593	455
Zm00001d038201	11	16	14	22	87	46	11	22
Zm00001d038202	13	10	0	0	1	1	2	0
Zm00001d038203	39	53	23	28	157	165	85	82
Zm00001d001445	13	9	6	10	19	21	29	18
Zm00001d038204	522	456	343	417	549	475	406	292
Zm00001d038205	311	366	341	305	407	466	724	548
Zm00001d038206	29	13	20	36	54	49	68	68
Zm00001d038207	72	87	42	54	64	99	57	42
Zm00001d038208	585	356	452	417	679	608	731	501
Zm00001d038209	8952	5851	6349	8279	3979	2897	4408	3825
Zm00001d038211	2	1	0	0	7	2	1	0
Zm00001d038216	4	1	6	0	5	4	0	9
Zm00001d038217	44	33	67	49	182	78	147	216
Zm00001d038218	1573	1102	1386	978	2072	1616	1353	1623
Zm00001d038219	3	0	0	0	3	2	1	1
Zm00001d038220	14	6	5	5	15	20	10	3
Zm00001d038221	268	269	122	149	243	835	301	268
Zm00001d038222	97	132	157	185	270	425	287	246
Zm00001d038224	4176	3642	4143	3852	3794	3609	5758	4651
Zm00001d038225	509	496	508	468	623	932	546	543
Zm00001d038226	803	620	1510	1417	389	369	1081	785
Zm00001d038227	2900	2622	2518	2563	3844	4415	4357	3579
Zm00001d038228	25	13	11	7	41	35	35	35
Zm00001d038229	1200	889	694	624	1222	1601	735	650
Zm00001d038235	2	0	1	8	4	1	3	6
Zm00001d038240	3	7	36	32	25	19	39	24
Zm00001d038242	142	83	380	291	127	128	453	389
Zm00001d038244	0	0	1	1	0	0	3	2
Zm00001d038248	2046	1684	1479	1428	2330	2507	2487	1683
Zm00001d038250	516	175	381	417	400	245	312	281
Zm00001d038251	1	2	1	2	0	3	1	4
Zm00001d038252	113	172	240	252	44	67	293	230
Zm00001d038257	65	71	38	91	194	221	250	153
Zm00001d038258	68	70	35	51	66	62	47	43
Zm00001d038262	251	157	355	353	365	618	571	469
Zm00001d038263	105	77	72	54	227	170	114	97
Zm00001d038266	106	133	182	139	151	190	271	208
Zm00001d038267	249	211	142	219	100	96	84	55
Zm00001d038268	60	39	4	2	214	401	12	17
Zm00001d038269	9	8	30	5	9	9	30	24
Zm00001d038270	583	417	437	551	848	711	464	403
Zm00001d038271	14	6	1	0	14	18	13	10
Zm00001d038272	330	204	222	374	370	512	626	483
Zm00001d038273	531	455	493	558	574	584	889	712
Zm00001d038274	1765	1289	757	854	1601	1609	797	827
Zm00001d038275	28	32	61	96	183	150	383	243
Zm00001d038280	749	792	942	787	1332	1712	1148	1123
Zm00001d038281	3	0	2	0	5	6	2	2
Zm00001d038282	111	53	74	112	147	25	44	105
Zm00001d038284	126	89	11	17	61	59	29	23
Zm00001d038288	102	92	136	55	43	22	119	266
Zm00001d038289	7	9	8	3	39	6	5	36
Zm00001d038290	358	345	213	247	830	1187	560	418
Zm00001d038291	4389	3618	1309	1204	821	322	464	681
Zm00001d038292	288	220	165	230	369	321	358	267
Zm00001d038293	8	1	7	12	6	0	5	5
Zm00001d038296	0	1	0	2	0	1	1	0
Zm00001d038297	192	182	85	66	250	292	147	181
Zm00001d038299	37	33	130	148	334	384	697	554
Zm00001d038300	41	15	74	114	80	84	104	112
Zm00001d038301	78	73	109	79	64	60	52	64
Zm00001d038302	440	410	471	678	608	658	767	624
Zm00001d038303	15	9	0	0	24	24	0	0
Zm00001d038304	33	42	22	16	91	130	75	74
Zm00001d038306	42	31	333	372	59	74	406	348
Zm00001d038307	1	3	7	7	1	0	21	4
Zm00001d038309	1	0	4	6	0	0	22	8
Zm00001d038310	755	679	535	609	764	1416	1347	819
Zm00001d038311	65	62	119	112	146	194	198	164
Zm00001d038312	2	1	11	10	9	7	44	31
Zm00001d038317	1	3	1	1	1	5	1	5
Zm00001d038318	560	479	429	476	681	811	792	675
Zm00001d038319	60	58	44	43	119	86	97	74
Zm00001d038320	2	2	0	0	0	41	3	11
Zm00001d038321	66	81	65	25	218	152	200	220
Zm00001d038325	390	592	539	266	1060	2285	1765	1156
Zm00001d038326	416	272	187	215	838	961	615	436
Zm00001d038327	2561	2209	1557	1465	2194	2634	2209	1883
Zm00001d038328	326	241	220	255	340	412	431	269
Zm00001d038329	79	36	50	88	78	92	85	65
Zm00001d038330	599	499	361	371	757	876	585	492
