	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d027936	2542	1996	2124	1936	2236	2246	2517	2053
Zm00001d027937	26	46	29	19	108	133	33	43
Zm00001d027938	3050	1714	1743	2758	2541	1534	1065	1182
Zm00001d027941	174	104	92	95	267	270	188	158
ENSRNA049471996	42	14	29	43	41	21	34	29
Zm00001d027943	559	494	295	270	572	714	624	426
Zm00001d027944	305	235	314	199	368	252	294	263
Zm00001d027945	1	2	1	2	0	6	3	2
Zm00001d027946	33	100	8	0	72	88	6	51
Zm00001d027947	4	42	26	3	0	5	0	64
Zm00001d027948	8	20	3	0	8	4	0	48
Zm00001d027949	0	45	17	0	8	1	0	21
Zm00001d027950	293	162	440	406	332	306	427	356
Zm00001d027951	1	1	2	16	2	2	2	0
Zm00001d027954	55	67	65	81	57	57	150	130
Zm00001d027955	39	40	68	110	65	35	227	119
Zm00001d027956	10	7	12	33	19	3	41	23
Zm00001d027957	425	339	503	466	672	480	941	790
Zm00001d027958	0	0	0	1	0	2	4	3
Zm00001d027962	577	427	468	492	624	662	733	565
Zm00001d027963	25	30	45	33	31	43	38	42
Zm00001d027965	29	10	23	40	32	40	0	4
Zm00001d027966	247	156	467	436	315	361	280	260
Zm00001d027967	59	46	37	30	78	97	65	67
Zm00001d027969	465	402	382	396	484	514	714	456
Zm00001d027971	540	449	332	368	463	622	853	567
Zm00001d027973	15	24	10	21	22	19	19	14
Zm00001d027974	103	66	85	110	40	45	99	138
Zm00001d027975	0	1	8	0	3	4	9	12
Zm00001d027976	775	746	689	476	1081	1396	993	919
Zm00001d022686	13	1	1	0	4	4	1	0
Zm00001d027982	1227	1160	776	544	1137	1321	2377	2402
Zm00001d027987	10	6	8	17	23	0	5	14
Zm00001d027988	708	894	341	145	736	421	101	373
Zm00001d027991	501	657	180	65	528	345	246	776
Zm00001d027992	579	630	302	138	1012	1329	789	995
Zm00001d027995	153	256	157	174	163	493	335	236
Zm00001d027996	145	142	91	62	444	1852	190	262
Zm00001d027997	0	0	3	1	0	0	6	1
Zm00001d027998	150	106	90	88	138	109	90	86
Zm00001d027999	3751	2588	3063	4094	997	717	1908	1695
Zm00001d028001	0	0	1	4	0	0	4	1
ENSRNA049472011	22	0	10	4	0	5	0	1
Zm00001d028002	22	21	28	33	83	94	92	75
Zm00001d028004	7	11	62	15	51	60	121	219
Zm00001d028005	560	470	324	360	555	528	370	305
Zm00001d028006	325	302	237	212	595	757	565	439
Zm00001d028007	21	20	10	9	155	171	238	158
Zm00001d028008	0	1	19	26	3	3	70	40
Zm00001d028009	314	264	289	296	337	353	378	374
Zm00001d028010	172	156	125	116	253	303	331	243
Zm00001d028011	85	85	70	87	86	28	61	111
Zm00001d028012	61	63	20	37	138	363	56	71
Zm00001d028013	10	2	0	1	8	24	0	2
Zm00001d028016	3	0	0	0	1	1	8	1
Zm00001d028017	1	12	5	3	4	4	0	7
Zm00001d028018	165	117	54	55	157	239	124	101
Zm00001d028020	1063	898	968	896	1008	1164	1288	945
