taxa	Nitrate_Blup	ChlorophyllA_Blup	ChlorophyllB_Blup	Glutamate_Blup	Malate_Blup	Fumarate_Blup	Fum2_Blup	AminoAcids_Blup	Protein_Blup	Starch_Blup	Sucrose_Blup	Glucose_Blup	Fructose_Blup	PrinicpalComponent1	PrincipalComponent2	DaysToAnthesis
Z013E0057	0.04216	47.2945	29.4341	0.09807	0.32006	0.03063	0.11886	1.87705	1.029551	0.92254	3.0032	0.873793	0.8511	0.6908	1.18318	77.6975
Z013E0058	0.04169	58.6198	28.5942	0.13597	0.32553	0.01733	0.10554	1.0429	1.060866	0.92384	3.3418	0.706943	0.64067	1.0453	0.32259	78.5801
Z013E0059	0.048218	59.0105	27.2332	0.02807	0.21768	-0.05693	0.03122	1.79452	1.024131	0.67834	2.178	0.903793	0.79656	-1.6869	-2.21274	74.5195
Z013E0060	0.046796	54.5826	28.4377	0.06525	0.28949	0.01878	0.10708	1.76722	1.100761	0.74454	2.9379	0.896593	0.64663	1.0112	0.17732	78.4033
Z013E0061	0.05084	59.3374	26.9021	0.07665	0.19634	-0.03241	0.05573	1.92053	1.122361	0.71864	2.7185	0.981893	0.8675	0.6961	-0.23039	77.5796
Z013E0062	0.054545	73.6186	28.6265	0.09536	0.34364	-0.02072	0.06751	2.2452	1.088341	0.68724	2.6433	0.548893	0.6535	2.082	-1.29391	78.2551
Z013E0063	0.03978	39.505	26.3915	0.00737	0.23077	-0.03712	0.062311	2.047	1.022721	0.66184	2.0136	1.044093	0.71231	-2.2558	-0.93305	77.0379
Z013E0065	0.04391	47.7642	26.8989	0.00902	0.21135	-0.05194	0.03962	1.037	1.058108	0.81983	2.45317	0.780883	0.72078	-1.5362	-0.72619	77.0034
Z013E0066	0.045	47.3278	28.2559	0.02852	0.19003	-0.06244	0.02022	1.4491	1.028191	0.93054	2.4071	0.969393	0.71658	-2.0567	-0.7529	79.6046
Z013E0067	0.04449	46.3108	28.10657	0.00654	0.22522	-0.05302	0.03506	1.81499	1.003971	0.69004	2.37	0.726083	0.6529	-1.5071	-1.46583	79.5353
Z013E0068	0.04158	41.796	28.2113	0.03922	0.24274	-0.04011	0.04807	1.92554	0.978761	1.07844	3.2627	0.984493	0.9149	-1.8632	0.78229	77.2491
Z013E0069	0.046772	52.6699	27.4443	0.04729	0.23623	-0.06619	0.01993	1.7259	1.081391	1.03434	2.9551	0.640693	0.6167	-1.4901	-1.79107	78.2696
Z013E0071	0.049052	63.1963	28.2541	0.11533	0.33187	0.03495	0.12331	1.92802	1.127591	0.70324	2.3893	0.603993	0.67242	2.1532	-0.8243	75.3204
Z013E0072	0.0438	45.5556	27.6953	0.060704	0.20453	0.02225	0.11466	1.5761	1.026781	1.26254	3.1072	0.971393	0.80289	-1.2109	1.15093	76.1993
Z013E0073	0.043	48.6678	27.6989	0.02256	0.20084	-0.06368	0.02438	2.1815	1.061393	0.54744	2.3361	0.575093	0.63962	-1.2083	-2.37215	78.2936
Z013E0074	0.049351	62.5589	29.0333	0.09454	0.33386	0.00897	0.09889	2.2559	1.127551	1.17544	3.0485	1.409793	1.2215	1.1194	2.82695	77.5476
Z013E0075	0.03248	37.6888	27.2339	0.00575	0.21555	-0.03472	0.05504	0.9352	0.986531	0.74709	2.2733	0.405893	0.4324	-2.9308	-2.37081	75.456
