SampleID	gid	ReadCount	nRC	rCPM	rFPKM	CPM	FPKM	Tissue	Genotype
rn18a_1364	Zm00001d014458	63	84.744643752858	37.9628987987454	11.3627353483225	41.401259289314	12.3918764709111	LMAD	GA209
rn18a_1365	Zm00001d014451	10	7.5926739223862	3.91761260687737	1.13619855187859	3.65699274448931	1.06061274492149	GRoot	GA209
rn18a_1365	Zm00001d014456	6	4.55560435343172	2.35056756412642	0.788252033576935	2.19419564669359	0.735813429474711	GRoot	GA209
rn18a_1365	Zm00001d014458	25	18.9816848059655	9.79403151719342	2.93146708087202	9.14248186122328	2.73645072170706	GRoot	GA209
rn18a_1366	Zm00001d014451	12	12.1714267419788	6.70926303218434	1.94584194668919	6.09320275063785	1.76717017129868	GShoot	GA209
rn18a_1366	Zm00001d014456	3	3.0428566854947	1.67731575804608	0.562480133482925	1.52330068765946	0.510831887209746	GShoot	GA209
rn18a_1366	Zm00001d014458	33	33.4714235404416	18.4504733385069	5.52244038865816	16.7563075642541	5.01535694829515	GShoot	GA209
rn18a_1367	Zm00001d014451	10	8.8073428520562	4.71292401588255	1.366857313191	4.31574575410812	1.25166640200352	L3Base	GA209
rn18a_1367	Zm00001d014456	6	5.28440571123372	2.82775440952953	0.948274449875765	2.58944745246487	0.868359306661594	L3Base	GA209
rn18a_1367	Zm00001d014458	37	32.5871685526079	17.4378188587654	5.21934117293189	15.9682592902001	4.77948497162528	L3Base	GA209
rn18a_1368	Zm00001d014451	3	3.95305779656616	1.78330788156696	0.517200661707354	2.06652785287393	0.59934102461541	L3Tip	GA209
rn18a_1368	Zm00001d014456	78	102.77950271072	46.3660049207409	15.5486267339842	53.7297241747223	18.0180161551718	L3Tip	GA209
rn18a_1368	Zm00001d014458	76	100.144130846343	45.1771329996962	13.5220392097265	52.352038939473	15.6695716670078	L3Tip	GA209
rn18a_1369	Zm00001d014451	1	1.14002965360477	0.507877174984002	0.147296164438516	0.574806298684433	0.166707163191541	LMAD	GT112
rn18a_1369	Zm00001d014456	108	123.123202589316	54.8507348982722	18.3939419511309	62.0790802579187	20.8179343587923	LMAD	GT112
rn18a_1369	Zm00001d014458	95	108.302817092454	48.2483316234802	14.441284532619	54.6065983750211	16.344387421437	LMAD	GT112
rn18a_137	Zm00001d014451	9	13.4138661125748	6.93943798262827	2.01259802280402	6.16400744736845	1.78770517615094	GRoot	CM37
rn18a_137	Zm00001d014456	1	1.49042956806387	0.771048664736475	0.258567627342882	0.684889716374272	0.22967461984382	GRoot	CM37
rn18a_137	Zm00001d014458	10	14.9042956806387	7.71048664736475	2.30783796688559	6.84889716374272	2.04995425433784	GRoot	CM37
rn18a_1370	Zm00001d014451	1	0.670573286266836	0.399313978584791	0.115810318615079	0.377228477158662	0.109405010776874	Kern	GA209
rn18a_1370	Zm00001d014456	12	8.04687943520203	4.7917677430175	1.60689729812793	4.52674172590394	1.51802204087993	Kern	GA209
rn18a_1370	Zm00001d014458	10	6.70573286266836	3.99313978584791	1.19519299187307	3.77228477158662	1.1290885278619	Kern	GA209
rn18a_1371	Zm00001d014451	2	2.07452941739617	1.09168100862592	0.316612821527238	1.01408651513755	0.294108618079336	GShoot	GT112
rn18a_1371	Zm00001d014456	10	10.3726470869809	5.45840504312959	1.83045105403407	5.07043257568774	1.70034626951299	GShoot	GT112
rn18a_1371	Zm00001d014458	40	41.4905883479234	21.8336201725183	6.53505542427966	20.281730302751	6.07055681016192	GShoot	GT112
rn18a_1372	Zm00001d014451	2	1.55742427475652	0.764516349755527	0.221727479627473	0.760001791835635	0.220418153084581	LMAN	GT112
rn18a_1372	Zm00001d014456	112	87.2157593863649	42.8129155863095	14.3571145493996	42.5601003427956	14.2723341189791	LMAN	GT112
rn18a_1372	Zm00001d014458	59	45.9440161053172	22.553232317788	6.75044367488418	22.4200528591512	6.7105815202488	LMAN	GT112
rn18a_1373	Zm00001d014451	23	11.3668135997945	5.77392425515122	1.67457199975383	5.68476198352241	1.64871287225128	GRoot	Hi27
rn18a_1373	Zm00001d014456	6	2.96525572168551	1.50624111003945	0.505111036230533	1.48298138700585	0.49731099497178	GRoot	Hi27
rn18a_1373	Zm00001d014458	21	10.3783950258993	5.27184388513807	1.57792394047832	5.19043485452047	1.5535572746245	GRoot	Hi27
rn18a_1374	Zm00001d014451	5	3.8947448392643	1.22694448616056	0.355842368376032	2.10204455553214	0.609641692439715	L3Tip	Hi27
rn18a_1374	Zm00001d014456	75	58.4211725889645	18.4041672924084	6.17175294849375	31.5306683329821	10.5736647662582	L3Tip	Hi27
rn18a_1374	Zm00001d014458	51	39.7263973604959	12.5148337588377	3.74583470782331	21.4408544664278	6.41749609890087	L3Tip	Hi27
rn18a_1375	Zm00001d014451	13	8.65073534840528	4.15778872164628	1.20585519769324	4.14039161917909	1.20080963433268	L3Base	Hi27
rn18a_1375	Zm00001d014456	12	7.98529416775872	3.83795881998118	1.28704185780724	3.82189995616531	1.28165659160473	L3Base	Hi27
rn18a_1375	Zm00001d014458	27	17.9669118774571	8.63540734495766	2.58467744536296	8.59927490137195	2.57386258646272	L3Base	Hi27
rn18a_1376	Zm00001d014451	2	1.90889581336668	0.981565705272137	0.284676828675214	1.05033771988296	0.304622308550744	Kern	Hi27
rn18a_1376	Zm00001d014456	8	7.63558325346671	3.92626282108855	1.31665419888952	4.20135087953186	1.40890371547011	Kern	Hi27
rn18a_1376	Zm00001d014458	9	8.59003116015005	4.41704567372461	1.32207293436834	4.72651973947334	1.41470210699591	Kern	Hi27
rn18a_1377	Zm00001d014451	0	0	0	0	0	0	L3Tip	CO106
rn18a_1377	Zm00001d014456	9	29.4016021599024	8.84195882790994	2.96511027092889	12.4771741359379	4.18416302345337	L3Tip	CO106
rn18a_1377	Zm00001d014458	49	160.075389537246	48.1395536186208	14.40872601575	67.9312814067733	20.3326193974179	L3Tip	CO106
rn18a_1378	Zm00001d014451	1	0.664156061889389	0.34503079744898	0.100066936615133	0.381422979336717	0.110621513728746	Kern	CO106
rn18a_1378	Zm00001d014456	25	16.6039015472347	8.62576993622451	2.89261231932411	9.53557448341793	3.19771109437221	Kern	CO106
rn18a_1378	Zm00001d014458	11	7.30571668078328	3.79533877193878	1.13598885721005	4.19565277270389	1.25580747461954	Kern	CO106
rn18a_1379	Zm00001d014451	1	0.774758636780457	0.408315925464378	0.118421092072035	0.431755346200909	0.125219067923698	Kern	CMV3
